,date,notes,name
1836,2012-04-07,right knee tendinitis (DNP),djaugustine
1837,2012-04-07,sore left knee (DNP),reggiewilliams
1838,2012-04-07,mouth injury (DNP),tonyallen
1839,2012-04-07,concussion (DNP),chrisjohnson(a)
1840,2012-04-07,sore right foot (DNP),jarrettjack
1841,2012-04-07,food poisoning (DNP),chuckhayes
1842,2012-04-07,bruised left shin (DNP),kobebryant
1843,2012-04-07,recovering from surgery to repair facial fracture (DNP),hidayetturkogluhedoturkoglu
1844,2012-04-07,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
1845,2012-04-07,strained right hamstring (DNP),darkomilicic
1846,2012-04-08,sprained right shoulder (DNP),kyrieirving
1847,2012-04-08,concussion (DNP),franciscogarcia
1848,2012-04-08,sore right groin (DNP),jordanfarmar
1849,2012-04-08,strained right shoulder (DNP),kevinmartin
1852,2012-04-09,left quadricep injury (DNP),nicolasbatum
1853,2012-04-09,right knee tendinitis (DNP),djaugustine
1854,2012-04-09,sore left knee (DNP),reggiewilliams
1855,2012-04-09,mouth injury (DNP),tonyallen
1856,2012-04-09,concussion (DNP),chrisjohnson(a)
1857,2012-04-09,tightness in lower back (DNP),ericgordon
1858,2012-04-09,stress fracture in right foot (DNP),jarrettjack
1859,2012-04-09,strained left calf (P) / surgery on right knee (CBC) (DNP),cjmiles
1860,2012-04-09,torn medial meniscus (P) / strained left calf (CBC) (DNP),earlwatson
1861,2012-04-09,sore left shin (DNP),kobebryant
1862,2012-04-09,sore groin (DNP),darrencollison
1863,2012-04-09,strained right shoulder (DNP),kevinmartin
1865,2012-04-09,rest (DNP) (P),emanuelginobilimanuginobili
1867,2012-04-09,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
1868,2012-04-09,strained right hamstring (DNP),darkomilicic
1869,2012-04-09,plantar fasciitis in left foot (DNP),nenenenehilariomaybynerhilario
1870,2012-04-09,plantar fasciitis in left foot (DNP),trevorbooker
1871,2012-04-10,sore left knee (DNP),reggiewilliams
1872,2012-04-10,sprained right shoulder (DNP),kyrieirving
1874,2012-04-10,concussion (DNP),franciscogarcia
1876,2012-04-10,strained left hamstring (DNP),geraldwallace
1877,2012-04-10,sore right groin (DNP),jordanfarmar
1878,2012-04-10,plantar fasciitis in left foot (DNP),nenenenehilariomaybynerhilario
1879,2012-04-10,plantar fasciitis in left foot (DNP),trevorbooker
1880,2012-04-11,right hip injury (DNP),lamarcusaldridge
1881,2012-04-11,sprained right shoulder (DNP),kyrieirving
1882,2012-04-11,mouth injury (DNP),tonyallen
1883,2012-04-11,tightness in lower back (DNP),ericgordon
1884,2012-04-11,stress fracture in right foot (DNP),jarrettjack
1885,2012-04-11,strained gastrocnemius (DNP),cjmiles
1886,2012-04-11,sprained right ankle (DNP),jeremyevans
1887,2012-04-11,concussion (DNP),franciscogarcia
1888,2012-04-11,left shin injury (DNP),kobebryant
1889,2012-04-11,strained right shoulder (DNP),kevinmartin
1890,2012-04-11,gastroenteritis (DNP),garyneal
1891,2012-04-11,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
1892,2012-04-11,back spasms (DNP),wayneellington
1893,2012-04-12,surgery on right hip to repair torn labrum (out for season) (date approximate),lamarcusaldridge
1894,2012-04-12,strained right Achilles tendon (DNP),coreymaggette
1895,2012-04-12,bruised right knee (DNP),tyrusthomas
1896,2012-04-12,mouth injury (DNP),tonyallen
1897,2012-04-12,strained right hamstring (DNP),darkomilicic
1898,2012-04-12,concussion (DNP),kevinlove
1899,2012-04-12,back spasms (DNP),wayneellington
1900,2012-04-13,right hip injury (DNP),lamarcusaldridge
1901,2012-04-13,sore right Achilles tendon (DNP),coreymaggette
1902,2012-04-13,sore left Achilles tendon (DNP),desaganadiop
1903,2012-04-13,bruised right knee (DNP),tyrusthomas
1905,2012-04-13,recovering from surgery on left foot and ankle to repair torn tendon (DNP),danielgibson
1906,2012-04-13,sprained right shoulder (DNP),kyrieirving
1907,2012-04-13,sprained right ankle (DNP),semiherden
1908,2012-04-13,sore right ankle (DNP),dwyanewade
1909,2012-04-13,ankle injury (DNP),mikemiller
1910,2012-04-13,stress fracture in right foot (DNP),jarrettjack
1911,2012-04-13,strained gastrocnemius (DNP),cjmiles
1912,2012-04-13,knee injury (DNP),earlwatson
1913,2012-04-13,sprained right ankle (DNP),jeremyevans
1914,2012-04-13,sprained right ankle (DTD),hassanwhiteside
1915,2012-04-13,left shin injury (DNP),kobebryant
1916,2012-04-13,foot injury (DTD),chrisduhon
1917,2012-04-13,strained left hamstring (DNP),geraldwallace
1918,2012-04-13,sore right groin (DNP),jordanfarmar
1919,2012-04-13,facial injury (DNP),josecalderon
1920,2012-04-13,strained right shoulder (DNP),kevinmartin
1921,2012-04-13,sore right knee (DNP),jamesharden
1922,2012-04-13,plantar fasciitis in left foot (DNP),nenenenehilariomaybynerhilario
1923,2012-04-13,plantar fasciitis in left foot (DNP),trevorbooker
1925,2012-04-14,sprained right shoulder (DNP),kyrieirving
1926,2012-04-14,strained gastrocnemius (DNP),cjmiles
1927,2012-04-14,knee injury (DNP),earlwatson
1928,2012-04-14,sprained right ankle (DNP),jeremyevans
1929,2012-04-14,strained left hamstring (DNP),geraldwallace
1930,2012-04-14,sore right groin (DNP),jordanfarmar
1931,2012-04-14,strained right hamstring (DNP),darkomilicic
1932,2012-04-14,concussion (DNP),kevinlove
1933,2012-04-14,strained groin (DNP),davidlee
1934,2012-04-14,right knee injury (DNP),richardjefferson
1935,2012-04-14,plantar fasciitis in left foot (DNP),nenenenehilariomaybynerhilario
1936,2012-04-14,plantar fasciitis in left foot (DNP),trevorbooker
1937,2012-04-15,right hip injury (DNP),lamarcusaldridge
1938,2012-04-15,sprained right shoulder (DNP),kyrieirving
1940,2012-04-15,toe injury / rest (DNP),paulpierce
1941,2012-04-15,stress fracture in right foot (DNP),jarrettjack
1942,2012-04-15,left shin injury (DNP),kobebryant
1944,2012-04-15,right eye injury (DNP),josecalderon
1945,2012-04-15,strained right shoulder (DNP),kevinmartin
1946,2012-04-16,right hip injury (DNP),lamarcusaldridge
1947,2012-04-16,quadriceps injury (DNP),nicolasbatum
1948,2012-04-16,sore Achilles tendon (DNP),raymondfelton
1949,2012-04-16,right knee tendinitis (DNP),djaugustine
1950,2012-04-16,strained left Achilles tendon (DNP),desaganadiop
1951,2012-04-16,concussion (DNP),reggiewilliams
1952,2012-04-16,bruised ribs (DNP),luoldeng
1953,2012-04-16,right ankle injury (DNP),dwyanewade
1954,2012-04-16,back injury (DNP),shanebattier
1955,2012-04-16,bruised left tibia (DNP),chriskaman
1956,2012-04-16,back injury / rest (DNP),ericgordon
1957,2012-04-16,stress fracture in right foot (DNP),jarrettjack
1958,2012-04-16,sprained right knee (DNP),glendavis
1959,2012-04-16,sore right calf (DNP),deronwilliams
1960,2012-04-16,strained left hamstring (DNP),geraldwallace
1961,2012-04-16,sore right groin (DNP),jordanfarmar
1962,2012-04-16,knee injury (DTD),linaskleiza
1963,2012-04-16,strained right shoulder (DNP),kevinmartin
1964,2012-04-16,sore lower back (DNP),marcuscamby
1965,2012-04-16,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
1966,2012-04-16,strained right hamstring (DNP),darkomilicic
1967,2012-04-16,concussion (DNP),kevinlove
1968,2012-04-16,concussion (DNP),andrisbiedrins
1969,2012-04-16,strained groin (DNP),davidlee
1970,2012-04-16,right knee injury (DNP),richardjefferson
1971,2012-04-16,plantar fasciitis in left foot (DNP),nenenenehilariomaybynerhilario
1972,2012-04-16,plantar fasciitis in left foot (DNP),trevorbooker
1973,2012-04-16,surgery on broken left index finger (out for season),rogermasonjr
1974,2012-04-17,sprained left ankle (DNP),alonzogee
1975,2012-04-17,sprained right shoulder (DNP),kyrieirving
1976,2012-04-17,knee injury (DTD),mickaelpietrus
1977,2012-04-17,migraine headache (DNP),andrewgoudelock
1978,2012-04-17,left shin injury (DNP),kobebryant
1979,2012-04-17,strained right hamstring (DNP),darkomilicic
1980,2012-04-17,concussion (DNP),kevinlove
1981,2012-04-18,right hip injury (DNP),lamarcusaldridge
1982,2012-04-18,sore Achilles tendon (DNP),raymondfelton
1983,2012-04-18,right knee tendinitis (DNP),djaugustine
1984,2012-04-18,strained left Achilles tendon (DNP),desaganadiop
1985,2012-04-18,concussion (DNP),reggiewilliams
1986,2012-04-18,stomach flu (DTD),larrysanders
1987,2012-04-18,bruised ribs (DNP),luoldeng
1988,2012-04-18,sprained left ankle (DNP),alonzogee
1989,2012-04-18,sore lower back (DNP),rajonrondo
1990,2012-04-18,flu-like symptoms (DNP),reggieevans
1991,2012-04-18,finger injury (DTD),gilbertarenas
1992,2012-04-18,calf injury (DTD),erickdampier
1993,2012-04-18,bruised left tibia (DNP),chriskaman
1994,2012-04-18,back injury / rest (DNP),ericgordon
1995,2012-04-18,DNP (P),trevorariza
1996,2012-04-18,strained gastrocnemius (DNP),cjmiles
1997,2012-04-18,knee injury (DNP),earlwatson
1998,2012-04-18,sprained right ankle (DNP),hassanwhiteside
1999,2012-04-18,stomach virus (DNP),barondavis
2000,2012-04-18,sore right knee (DTD),jaredjeffries
2001,2012-04-18,left shin injury (DNP),kobebryant
2002,2012-04-18,sore right calf (DNP),deronwilliams
2003,2012-04-18,sore right groin (DNP),jordanfarmar
2004,2012-04-18,hyperextended right knee (DNP),sheldenwilliams
2007,2012-04-18,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
2008,2012-04-18,concussion (DNP),andrisbiedrins
2009,2012-04-18,strained groin (DNP),davidlee
2010,2012-04-18,hamstring injury (out for season),naterobinson
2011,2012-04-18,plantar fasciitis in left foot (DNP),trevorbooker
2012,2012-04-19,flu-like symptoms (DNP),reggieevans
2014,2012-04-19,bruised left tibia (DNP),chriskaman
2015,2012-04-19,DNP (P),trevorariza
2016,2012-04-19,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
2017,2012-04-19,strained right hamstring (DNP),darkomilicic
2018,2012-04-19,concussion (DNP),kevinlove
2019,2012-04-20,right knee tendinitis (DNP),djaugustine
2020,2012-04-20,strained left Achilles tendon (DNP),desaganadiop
2021,2012-04-20,concussion (DNP),reggiewilliams
2022,2012-04-20,bruised right knee (DNP),tyrusthomas
2023,2012-04-20,sprained left ankle (DNP),alonzogee
2026,2012-04-20,sore lower back (DNP),rajonrondo
2027,2012-04-20,sprained right ankle (DNP),hassanwhiteside
2028,2012-04-20,quadriceps injury (DNP),marcusthornton(t)
2029,2012-04-20,surgery on back to repair herniated disc (out for season),dwighthoward
2030,2012-04-20,concussion (DNP),andrisbiedrins
2031,2012-04-20,strained groin (DNP),davidlee
2032,2012-04-21,bronchitis (DNP),joelprzybilla
2033,2012-04-21,right hip injury (DNP),lamarcusaldridge
2034,2012-04-21,left quadriceps tendinitis (DNP),nicolasbatum
2035,2012-04-21,strained right groin (DNP),carlosdelfino
2039,2012-04-21,strained gastrocnemius (DNP),cjmiles
2040,2012-04-21,knee injury (DNP),earlwatson
2041,2012-04-21,knee injury (DTD),earlclark
2043,2012-04-21,sore right calf (DNP),deronwilliams
2044,2012-04-21,sore right groin (DNP),jordanfarmar
2045,2012-04-21,hyperextended right knee (DNP),sheldenwilliams
2046,2012-04-21,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
2047,2012-04-21,surgery on left ankle to clean out fragments and scar tissue (date approximate),andrewbogut
2048,2012-04-21,concussion (DNP),andrisbiedrins
2049,2012-04-21,strained groin (DNP),davidlee
2050,2012-04-21,sprained right ankle (DNP),dorellwright
2051,2012-04-21,plantar fasciitis in left foot (DNP),trevorbooker
2052,2012-04-22,right knee tendinitis (DNP),djaugustine
2053,2012-04-22,left knee tendinitis (DNP),reggiewilliams
2054,2012-04-22,flu-like symptoms (DNP),nickyoung
2055,2012-04-22,leg muscle fatigue (DNP),chrisbosh
2056,2012-04-22,dislocated left index finger (DNP),dwyanewade
2057,2012-04-22,flu-like symptoms (DNP),mariochalmers
2058,2012-04-22,bruised left tibia (DNP),chriskaman
2059,2012-04-22,DNP (P),trevorariza
2060,2012-04-22,sprained right ankle (DNP),hassanwhiteside
2062,2012-04-22,right knee injury (DNP),alharrington
2063,2012-04-22,right eye injury (DNP),josecalderon
2064,2012-04-22,hernia (out for season),kylelowry
2066,2012-04-22,strained right hamstring (DNP),darkomilicic
2067,2012-04-22,concussion (DNP),kevinlove
2069,2012-04-22,concussion (DNP),andrisbiedrins
2070,2012-04-22,strained groin (DNP),davidlee
2071,2012-04-23,right knee tendinitis (DNP),jamalcrawford
2072,2012-04-23,bronchitis (DNP),joelprzybilla
2073,2012-04-23,right hip injury (DNP),lamarcusaldridge
2074,2012-04-23,strained right groin (DNP),carlosdelfino
2075,2012-04-23,sore right calf (DNP),deronwilliams
2076,2012-04-23,sore right groin (DNP),jordanfarmar
2077,2012-04-23,hyperextended right knee (DNP),sheldenwilliams
2078,2012-04-23,sore left shoulder (DNP),georgehill
2080,2012-04-23,right eye injury (DNP),josecalderon
2081,2012-04-23,plantar fasciitis in left foot (DNP),trevorbooker
2082,2012-04-24,sore right foot (DNP),gregstiemsma
2083,2012-04-24,hip flexor injury (DNP),kevingarnett
2084,2012-04-24,sore lower back (DNP),rajonrondo
2085,2012-04-24,leg muscle fatigue (DNP),chrisbosh
2086,2012-04-24,dislocated left index finger (DNP),dwyanewade
2088,2012-04-24,bruised left tibia (DNP),chriskaman
2090,2012-04-24,sprained left ankle (DNP),jasonsmith
2091,2012-04-24,DNP (P),trevorariza
2092,2012-04-24,knee injury (DNP),earlwatson
2093,2012-04-24,sprained right ankle (DNP),hassanwhiteside
2094,2012-04-24,quadriceps injury (DNP),marcusthornton(t)
2096,2012-04-24,left shoulder injury (DTD),garyneal
2097,2012-04-24,right shoulder injury (DNP),channingfrye
2098,2012-04-24,concussion (DNP),andrisbiedrins
2099,2012-04-24,strained groin (DNP),davidlee
2103,2012-04-25,strained right groin (DNP),carlosdelfino
2105,2012-04-25,right knee / thigh injury (DNP),ersanilyasova
2106,2012-04-25,right hand injury (DNP),montaellis
2107,2012-04-25,strained left groin (DNP),chrispaul
2108,2012-04-25,stomach flu (DNP),kyrylofesenko
2109,2012-04-25,sprained left ankle (DNP),leandrobarbosa
2111,2012-04-25,left shoulder injury (DNP),garyneal
2112,2012-04-25,right shoulder injury (DNP),channingfrye
2113,2012-04-25,recovering from surgery on right knee to repair torn meniscus (DNP),granthill
2114,2012-04-25,arthroscopic surgery on right ankle (out for season),stephencurry
2115,2012-04-25,sprained right ankle (DNP),jordancrawford
2116,2012-04-25,plantar fasciitis in left foot (DNP),trevorbooker
2121,2012-04-26,right knee tendinitis (DNP),jamalcrawford
2122,2012-04-26,right hip injury (DNP),lamarcusaldridge
2124,2012-04-26,sprained right ankle (DNP),derrickbrown
2125,2012-04-26,left knee tendinitis (DNP),reggiewilliams
2126,2012-04-26,strained right groin (DNP),carlosdelfino
2128,2012-04-26,right knee injury (DNP),ersanilyasova
2129,2012-04-26,right hand injury (DNP),montaellis
2133,2012-04-26,right knee tendinitis (DNP),omricasspi
2134,2012-04-26,back injury (DNP),janneropargo
2136,2012-04-26,placed on IL with leg muscle fatigue,chrisbosh
2138,2012-04-26,bruised left tibia (DNP),chriskaman
2139,2012-04-26,concussion (DNP),gustavoayon
2140,2012-04-26,DNP (P),trevorariza
2141,2012-04-26,sprained right ankle (DNP),hassanwhiteside
2144,2012-04-26,virus (DNP),toneydouglas
2153,2012-04-26,sore right calf (DNP),deronwilliams
2155,2012-04-26,sore right groin (DNP),jordanfarmar
2156,2012-04-26,bruised right big toe (DNP),krishumphries
2157,2012-04-26,left knee injury (DNP),sheldenwilliams
2158,2012-04-26,right eye injury (DNP),josecalderon
2160,2012-04-26,bruised right shoulder (DNP),chandlerparsons
2161,2012-04-26,hernia (DNP),kylelowry
2163,2012-04-26,left shoulder injury (DNP),garyneal
2166,2012-04-26,concussion (DNP),andrisbiedrins
2168,2012-04-26,sprained right ankle (DNP),jordancrawford
2169,2012-04-26,surgery to repair torn abdominal muscle (out for season),davidlee
2170,2012-04-26,recovering from surgery to repair torn abdominal muscle (DNP),davidlee
2171,2012-04-28,torn ACL in left knee (out for season),derrickrose
2173,2012-04-28,torn lateral meniscus / ACL (CBC) in left knee (out for season),imanshumpert
2174,2012-04-29,fractured metacarpal bone in left hand (out for season),caronbutler
2175,2012-04-30,left hand injury (DTD),amarestoudemireamarestoudemire
2176,2012-04-30,surgery on left hip to repair torn labrum (out for season),wilsonchandler
2177,2012-05-01,surgery to repair sports hernia (out indefinitely),kylelowry
2178,2012-05-02,wrist injury (DNP),tiagosplitter
2179,2012-05-02,surgery on right shoulder (out indefinitely),channingfrye
2180,2012-05-03,surgery to repair sports hernia (out indefinitely),carlosdelfino
2181,2012-05-04,left knee tendinitis (DNP),joshsmith
2182,2012-05-06,sprained left ankle (DNP),joakimnoah
2183,2012-05-06,"torn ACL, MCL, and patella tendon in right knee (out for season)",barondavis
2184,2012-05-07,surgery on right knee to repair tendinitis,lucrichardmbahamoutelucmbahamoute
2185,2012-05-08,sprained left ankle (DNP),joakimnoah
2186,2012-05-10,arthroscopic surgery on right hip to repair torn labrum (out indefinitely),lamarcusaldridge
2187,2012-05-10,sprained left ankle (DNP),joakimnoah
2188,2012-05-12,surgery on left knee to repair torn ACL,derrickrose
2189,2012-05-15,surgery on right ankle to remove bone spurs (out indefinitely),nikolapekovic
2190,2012-05-16,surgery on right knee to repair torn meniscus (out indefinitely),alharrington
2191,2012-05-25,surgery on left shoulder (out for season),averybradley
2192,2012-06-12,migraine headache (DNP),jamesjones(b)
2193,2012-06-14,arthroscopic surgery on right knee (out indefinitely),mickaelpietrus
2194,2012-06-14,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),rayallen
2195,2012-07-10,surgery on left knee (out indefinitely),dwyanewade
2196,2012-07-11,surgery on left groin (out indefinitely),hollisthompson
2197,2012-07-12,torn meniscus in left knee (out indefinitely),blakegriffin
2198,2012-07-12,surgery on right groin (out indefinitely),kendrickperkins
2199,2012-07-14,broken right hand (out indefinitely),kyrieirving
2200,2012-07-16,surgery on left knee to repair torn meniscus (out indefinitely),blakegriffin
2201,2012-07-18,surgery to repair broken right hand (out indefinitely),kyrieirving
2202,2012-07-19,surgery on left wrist to repair torn ligament (out indefinitely),kendrickperkins
2203,2012-07-27,surgery on right ankle to remove bone spurs (out indefinitely),austinrivers
2204,2012-08-05,surgery on left knee to repair medial meniscus,robinlopez
2205,2012-08-21,surgery on right thumb to repair torn ligament (out indefinitely),chrispaul
2206,2012-09-07,surgery on left knee to repair torn meniscus (out indefinitely),ronniebrewer
2207,2012-09-11,torn left Achilles tendon (out indefinitely),elliotwilliams
2208,2012-09-14,surgery to repair torn left Achilles tendon (out for season),elliotwilliams
2209,2012-09-20,enlarged heart (out indefinitely),channingfrye
2210,2012-09-24,foot injury (out indefinitely),steveblake
2211,2012-09-26,fractured fibula in left leg (out indefinitely),darrellarthur
2212,2012-09-28,stress fracture in left kneecap (out indefinitely),johnwall(a)
2213,2012-10-01,rehab on knee (out indefinitely),andrewbynum
2214,2012-10-10,surgery on knee (out indefinitely),chrissmith(c)
2215,2012-10-17,fractured right hand (out indefinitely),kevinlove
2216,2012-10-19,arthroscopic surgery on right knee (out indefinitely),dirknowitzki
2217,2012-10-21,ruptured cyst in left knee (out indefinitely),amarestoudemireamarestoudemire
2218,2012-10-30,recovering from surgery on left knee to repair torn ACL (out indefinitely),derrickrose
2219,2012-10-30,back spasms (DTD),darkomilicic
2220,2012-10-30,bone bruise in right knee (DTD),granthill
2221,2012-10-30,arthroscopic surgery on left knee (out indefinitely) (date approximate),amarestoudemireamarestoudemire
2222,2012-10-30,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely),imanshumpert
2223,2012-10-30,sprained thumb (DTD),jaredcunningham
2224,2012-10-30,surgery on hip (out indefinitely),julyanstone
2225,2012-10-30,sore left knee (out indefinitely),dannygranger
2226,2012-10-30,back spasms (DTD),emanuelginobilimanuginobili
2227,2012-10-30,surgery on left shoulder (out indefinitely),averybradley
2228,2012-10-31,strained left calf (DNP),kwamebrown
2229,2012-10-31,right leg injury (DTD),tylerhoneycutt
2231,2012-10-31,sprained left ankle (DNP),danilogallinari
2232,2012-10-31,groin injury (DNP),andrisbiedrins
2233,2012-11-02,strained left calf (DTD),marcuscamby
2234,2012-11-02,sprained left thumb (DNP),gustavoayon
2235,2012-11-02,surgery to repair hernia (DTD),mauriceharklessmoeharkless
2236,2012-11-03,concussion (DNP),anthonydavis
2237,2012-11-03,recovering from surgery on left hip to repair torn labrum (out indefinitely),wilsonchandler
2238,2012-11-03,torn ACL in left knee (out for season),brandonrush
2239,2012-11-04,sprained right ankle (DNP),joshsmith
2240,2012-11-04,strained right hamstring (DNP),jameernelson
2241,2012-11-05,sprained left ankle (DNP),jasonrichardson
2242,2012-11-06,sprained left foot (out indefinitely),geraldhenderson(b)
2243,2012-11-06,strained right hamstring (DNP),jameernelson
2244,2012-11-06,sprained MCL in left knee (DTD),shawnmarion
2245,2012-11-07,sprained left ankle (DNP),jasonrichardson
2246,2012-11-07,strained left calf (DNP),kwamebrown
2247,2012-11-07,concussion (DNP),anthonydavis
2248,2012-11-07,sprained left index finger (DNP),austinrivers
2249,2012-11-07,strained left groin (out indefinitely),earlclark
2250,2012-11-07,strained groin (DNP),jameernelson
2252,2012-11-07,sprained left ankle (DNP),rodriguebeaubois
2253,2012-11-07,ankle injury (DNP),kendallmarshall
2255,2012-11-09,sprained left ankle (DNP),jasonrichardson
2256,2012-11-09,strained left calf (DNP),kwamebrown
2258,2012-11-09,groin injury (DTD),dequanjones
2259,2012-11-09,strained right hamstring/groin (DNP),jameernelson
2260,2012-11-09,sprained left foot (DNP),josejuanbareajosebareajjbarea
2261,2012-11-10,sprained left ankle (DNP),jasonrichardson
2262,2012-11-10,strained left calf (DNP),kwamebrown
2263,2012-11-10,strained right abductor (DNP),mauricewilliamsmowilliams
2264,2012-11-10,bruised left knee (DNP),dejuanblair
2265,2012-11-10,sore right knee (DNP),brandonroy
2266,2012-11-10,sprained left foot (DNP),josejuanbareajosebareajjbarea
2269,2012-11-11,torn meniscus in left knee (out indefinitely),chasebudinger
2270,2012-11-12,strained left calf (DNP),kwamebrown
2271,2012-11-12,sore right knee (DNP),brandonroy
2272,2012-11-12,torn meniscus in left knee (surgery) (DNP),chasebudinger
2273,2012-11-12,sprained left foot (DNP),josejuanbareajosebareajjbarea
2275,2012-11-13,strained left groin (DNP),earlclark
2276,2012-11-13,sore left groin (DNP),dequanjones
2277,2012-11-13,strained right hamstring/groin (DNP),jameernelson
2278,2012-11-13,surgery on left knee to repair torn meniscus (out indefinitely),chasebudinger
2279,2012-11-14,stomach virus (DNP),alhorford
2280,2012-11-14,strained left hamstring (DTD) (CBC),devinharris
2281,2012-11-14,sore right knee (DNP),brandonroy
2282,2012-11-14,recovering from surgery on left knee to repair torn meniscus (DNP),chasebudinger
2283,2012-11-14,sprained left foot (DNP),josejuanbareajosebareajjbarea
2284,2012-11-14,sprained left ankle (DNP),nikolapekovic
2285,2012-11-15,sprained right ankle (DNP),rajonrondo
2286,2012-11-15,hip injury (DTD),wilsonchandler
2287,2012-11-15,ulnar nerve transpostion surgery on right elbow (out indefinitely),landryfields
2288,2012-11-15,hand injury (DTD),garyneal
2289,2012-11-16,surgury on right knee (out indefinitely),lukeharangody
2290,2012-11-16,groin injury (DTD),carlosdelfino
2291,2012-11-16,quadriceps tendinitis in left knee (out indefinitely),kawhileonard
2292,2012-11-16,sore right knee (DNP),brandonroy
2293,2012-11-16,recovering from surgery on left knee to repair torn meniscus (DNP),chasebudinger
2294,2012-11-16,sprained left foot (DNP),josejuanbareajosebareajjbarea
2295,2012-11-16,sprained left ankle (DNP),nikolapekovic
2297,2012-11-17,ankle injury (DNP),rodriguebeaubois
2298,2012-11-17,ankle injury (DTD),anthonyrandolph
2299,2012-11-17,quadriceps tendinitis in left knee (DNP),kawhileonard
2300,2012-11-18,sore right elbow (DTD),danielgibson
2302,2012-11-18,groin injury (DNP),carlosdelfino
2303,2012-11-19,fractured left index finger (out indefinitely),kyrieirving
2304,2012-11-19,groin injury (DNP),carlosdelfino
2305,2012-11-19,quadriceps tendinitis in left knee (DNP),kawhileonard
2306,2012-11-19,fractured right pinky finger (out indefinitely),stephenjackson
2308,2012-11-19,arthroscopic surgery on right knee (out indefinitely),brandonroy
2309,2012-11-19,strained right calf (DNP),richardjefferson
2310,2012-11-20,stress reaction in left ankle (DNP),anthonydavis
2311,2012-11-21,sore right elbow (DNP),danielgibson
2312,2012-11-21,strained right shoulder (DNP),caronbutler
2314,2012-11-21,stress reaction in left ankle (DNP),anthonydavis
2315,2012-11-21,groin injury (DNP),carlosdelfino
2316,2012-11-21,sprained right ankle (DTD),colealdrich
2317,2012-11-21,sprained right ankle (DNP),daequancook
2318,2012-11-21,strained right calf (DNP),richardjefferson
2319,2012-11-23,stress reaction in left ankle (DNP),anthonydavis
2320,2012-11-23,sore left foot (DNP),rasheedwallace
2321,2012-11-23,groin injury (DNP),carlosdelfino
2322,2012-11-23,sprained right ankle (DNP),colealdrich
2323,2012-11-23,strained right calf (DNP),richardjefferson
2324,2012-11-24,left leg injury (DTD),bismackbiyombo
2325,2012-11-24,knee injury (DNP),deshawnstevenson
2326,2012-11-24,sprained right foot (DNP),mauricewilliamsmowilliams
2328,2012-11-24,strained right calf (DNP),richardjefferson
2329,2012-11-25,sore back (DNP),lamarcusaldridge
2330,2012-11-25,stress reaction in left ankle (DNP),anthonydavis
2333,2012-11-26,stress reaction in left ankle (DNP),anthonydavis
2334,2012-11-26,sprained right foot (DNP),mauricewilliamsmowilliams
2335,2012-11-26,lower back spasms (DNP),jasonkidd
2336,2012-11-26,sore left foot (DNP),nenenenehilariomaybynerhilario
2337,2012-11-26,sore right shoulder (DNP),shaunlivingston
2338,2012-11-27,sore right elbow (DNP),danielgibson
2340,2012-11-28,stress reaction in left ankle (DNP),anthonydavis
2341,2012-11-28,sprained right foot (DNP),mauricewilliamsmowilliams
2342,2012-11-28,back spasms (DNP),jasonkidd
2343,2012-11-28,sore left ankle (DNP),andreabargnani
2344,2012-11-28,sore right shoulder (DNP),chandlerparsons
2345,2012-11-28,back spasms (DNP),andreikirilenko
2346,2012-11-29,right hip injury (DNP),julyanstone
2351,2012-11-29,strained right calf (DNP),richardjefferson
2352,2012-11-30,strained right groin (DNP),tonyallen
2353,2012-11-30,concussion (DNP),marvinwilliams
2354,2012-11-30,bruised left knee (DNP),tyrekeevans
2355,2012-11-30,back spasms (DNP),jasonkidd
2356,2012-11-30,left Achilles tendinitis (DNP),jameernelson
2358,2012-11-30,back spasms (DNP),andreikirilenko
2359,2012-12-01,hyperextended left big toe (DNP),nickyoung
2360,2012-12-01,sprained right ankle (DTD),benoudrih
2361,2012-12-01,stress reaction in left ankle (DNP),anthonydavis
2362,2012-12-01,strained arch in right foot (DNP),derrickfavors
2363,2012-12-01,concussion (DNP),marvinwilliams
2364,2012-12-01,bruised left knee (DNP),tyrekeevans
2365,2012-12-01,strained right calf (DNP),richardjefferson
2366,2012-12-02,torn plantar fascia in left foot (out indefinitely),richardhamilton
2367,2012-12-02,sore left foot (DTD),marcuscamby
2368,2012-12-02,strained right quadricep (DNP),jermaineoneal
2369,2012-12-03,sprained left ankle (DTD),dionwaiters
2370,2012-12-03,knee injury (DNP),williegreen
2371,2012-12-03,stress reaction in left ankle (DNP),anthonydavis
2372,2012-12-03,plantar fasciitis in right foot (DNP),derrickfavors
2373,2012-12-03,concussion (DNP),marvinwilliams
2374,2012-12-03,surgery to repair torn abdominal muscle (out indefinitely) (date approximate),steveblake
2375,2012-12-03,sore left hip (DNP),linaskleiza
2376,2012-12-03,strained right calf (DNP),richardjefferson
